"","HOUSEID","TRAVDAY","SAMPSTRAT","HOMEOWN","HHSIZE","HHVEHCNT","HHFAMINC","PC","SPHONE","TAB","WALK","BIKE","CAR","TAXI","BUS","TRAIN","PARA","PRICE","PLACE","WALK2SAVE","BIKE2SAVE","PTRANS","HHRELATD","DRVRCNT","CNTTDHH","HHSTATE","HHSTFIPS","NUMADLT","YOUNGCHILD","WRKCOUNT","TDAYDATE","HHRESP","LIF_CYC","MSACAT","MSASIZE","RAIL","URBAN","URBANSIZE","URBRUR","SCRESP","CENSUS_D","CENSUS_R","CDIVMSAR","HH_RACE","HH_HISP","HH_CBSA","RESP_CNT","WEBUSE17","SMPLSRCE","WTHHFIN","HBHUR","HTHTNRNT","HTPPOPDN","HTRESDN","HTEEMPDN","HBHTNRNT","HBPPOPDN","HBRESDN"
"114178",40593458,6,3,2,2,2,5,1,1,1,3,5,1,3,5,5,5,4,4,4,4,4,1,2,7,"GA",13,2,0,2,201611,1,2,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",2,1,2,92.5948224534658,"C",30,750,300,350,40,7000,3000
"114198",40593759,4,3,1,1,1,3,1,1,5,2,2,2,5,4,5,5,2,3,1,1,2,2,1,1,"GA",13,1,0,1,201702,1,1,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",1,1,2,81.386606322673,"C",70,3000,1500,1500,60,3000,1500
"114206",40593841,1,4,1,3,3,8,1,1,1,4,4,1,5,5,5,5,3,3,4,4,4,1,3,6,"GA",13,2,0,3,201703,1,8,4,6,2,4,6,2,1,5,3,54,1,2,"XXXXX",3,1,2,1464.44705168391,"T",40,1500,300,750,40,750,300
"114248",40594299,3,3,1,2,2,6,1,5,5,5,3,1,5,5,5,5,4,4,4,3,4,1,2,2,"GA",13,2,0,0,201703,1,10,3,3,2,1,2,1,1,5,3,53,1,2,"XXXXX",2,1,2,61.6593938896221,"T",5,1500,300,750,5,1500,300
"114250",40594304,7,3,1,3,4,8,2,1,1,4,4,1,5,5,5,5,2,3,2,4,5,1,2,9,"GA",13,2,0,1,201611,1,6,3,2,2,4,6,2,1,5,3,53,1,2,"XXXXX",3,1,2,222.920730290904,"R",5,300,50,150,5,300,50
"114272",40594560,5,1,1,2,2,11,1,1,2,1,3,1,4,1,1,5,2,3,4,4,1,1,2,7,"GA",13,2,0,1,201702,1,2,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,1,297.855485666501,"S",5,3000,750,750,0,1500,750
"114280",40594736,4,3,2,1,0,2,5,2,5,5,5,2,5,1,5,5,5,4,3,-9,1,2,0,4,"GA",13,1,0,0,201704,1,1,3,1,2,1,1,1,1,5,3,53,2,2,"XXXXX",1,2,2,279.081699172292,"R",40,300,50,25,30,50,50
"114285",40594828,6,3,2,2,2,7,1,1,4,3,5,1,4,4,4,5,4,4,4,4,4,1,2,10,"GA",13,2,0,2,201611,1,2,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,1,2,130.275201175848,"C",50,3000,1500,750,60,3000,1500
"114320",40595229,1,3,1,1,1,4,1,1,-9,3,-9,1,-9,-9,-9,-9,1,2,3,3,3,2,1,2,"GA",13,1,0,1,201612,1,1,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",1,1,2,262.75682081365,"C",40,3000,1500,750,50,3000,1500
"114321",40595234,1,1,1,2,2,7,1,1,1,4,5,1,5,5,5,5,2,3,5,5,3,1,2,8,"GA",13,2,0,2,201703,1,2,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,1,840.461101119171,"T",5,750,300,350,5,750,300
