"","HOUSEID","TRAVDAY","SAMPSTRAT","HOMEOWN","HHSIZE","HHVEHCNT","HHFAMINC","PC","SPHONE","TAB","WALK","BIKE","CAR","TAXI","BUS","TRAIN","PARA","PRICE","PLACE","WALK2SAVE","BIKE2SAVE","PTRANS","HHRELATD","DRVRCNT","CNTTDHH","HHSTATE","HHSTFIPS","NUMADLT","YOUNGCHILD","WRKCOUNT","TDAYDATE","HHRESP","LIF_CYC","MSACAT","MSASIZE","RAIL","URBAN","URBANSIZE","URBRUR","SCRESP","CENSUS_D","CENSUS_R","CDIVMSAR","HH_RACE","HH_HISP","HH_CBSA","RESP_CNT","WEBUSE17","SMPLSRCE","WTHHFIN","HBHUR","HTHTNRNT","HTPPOPDN","HTRESDN","HTEEMPDN","HBHTNRNT","HBPPOPDN","HBRESDN"
"49",30000449,4,3,1,1,2,7,1,1,1,4,5,1,5,5,5,5,4,2,4,4,4,2,1,8,"GA",13,1,0,1,201604,1,1,3,3,2,1,2,1,1,5,3,53,1,2,"XXXXX",1,1,2,117.99222480121,"S",0,1500,750,750,5,750,300
"54",30000465,2,3,1,4,2,8,1,1,1,1,5,1,5,5,5,5,1,2,2,3,3,1,2,20,"GA",13,2,0,2,201611,2,6,3,2,2,2,6,1,1,5,3,53,1,2,"XXXXX",4,1,2,133.011026526012,"T",30,300,300,150,30,300,50
"56",30000478,6,3,1,2,0,3,1,5,5,1,5,1,4,5,5,5,1,1,2,4,4,1,2,2,"GA",13,2,0,0,201611,1,10,3,2,2,1,2,1,1,5,3,53,2,2,"XXXXX",2,1,2,119.868884956711,"C",70,3000,1500,750,60,3000,1500
"90",30000850,7,3,1,1,2,1,1,1,3,3,2,2,5,5,5,5,3,2,3,3,3,2,1,0,"GA",13,1,0,0,201607,1,9,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",1,1,2,144.101069242379,"T",5,50,50,25,5,1500,300
"120",30001073,7,3,1,1,1,1,3,-9,-9,-9,-9,1,-9,-9,-9,-9,2,-9,-9,-9,-9,2,1,3,"GA",13,1,0,0,201610,1,9,3,1,2,4,6,2,1,5,3,53,2,2,"XXXXX",1,3,2,150.108534515962,"R",20,300,50,75,20,300,50
"125",30001109,6,1,2,2,0,6,1,1,5,1,5,2,4,2,2,5,5,4,4,4,4,1,1,1,"GA",13,2,0,1,201607,1,2,1,5,1,1,5,1,1,5,3,51,3,2,"12060",2,1,2,1071.43289577066,"C",70,7000,3000,3000,70,7000,3000
"137",30001249,7,4,1,2,3,7,1,5,3,-9,-9,1,-9,-9,-9,-9,3,3,3,3,3,1,2,0,"GA",13,2,0,0,201610,2,10,4,6,2,4,6,2,1,5,3,54,1,2,"XXXXX",2,1,2,694.165000847425,"T",40,300,300,75,40,300,300
"158",30001418,2,3,1,2,2,7,1,1,-9,5,5,1,5,5,5,5,3,4,5,5,5,1,2,8,"GA",13,2,0,0,201610,2,10,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",2,1,2,66.3273781765981,"T",20,300,50,25,5,300,50
"190",30001608,4,1,2,2,2,8,1,1,1,3,5,1,3,4,4,5,3,2,3,3,1,1,2,4,"GA",13,2,0,2,201609,1,2,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,2,401.561673733927,"S",50,3000,1500,1500,50,7000,3000
"206",30001755,5,1,1,2,2,6,1,1,1,-9,5,1,4,5,5,5,3,3,5,5,5,1,2,12,"GA",13,2,0,0,201606,1,10,1,5,1,1,5,1,1,5,3,51,2,2,"12060",2,1,2,750.754856920926,"T",5,1500,750,750,0,1500,750
"211",30001774,3,1,1,1,0,5,1,1,1,1,2,3,3,4,1,5,5,3,1,1,1,2,0,2,"GA",13,1,0,1,201606,1,1,1,5,1,1,5,1,1,5,3,51,1,2,"12060",1,1,1,805.331565883393,"U",60,17000,17000,5000,70,17000,17000
"219",30001860,2,3,1,2,3,6,1,1,2,5,5,2,5,5,5,5,4,4,5,5,5,1,2,13,"GA",13,2,0,1,201610,1,2,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",2,1,2,79.1035992478275,"R",5,300,50,75,5,300,50
"229",30001941,7,3,1,1,2,5,1,1,1,-9,-9,1,-9,-9,-9,-9,3,4,5,5,5,2,1,0,"GA",13,1,0,0,201607,1,9,3,3,2,1,2,1,1,5,3,53,1,2,"XXXXX",1,1,2,191.186721231613,"S",5,1500,750,750,5,1500,750
"254",30002164,1,3,1,3,3,10,1,1,1,1,4,1,4,5,4,5,4,4,4,4,5,1,3,13,"GA",13,2,0,2,201610,1,8,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",3,1,2,372.219830508843,"T",40,300,300,150,40,300,300
"289",30002454,3,3,1,3,1,4,1,5,5,3,5,5,5,3,5,5,3,4,5,5,3,1,3,4,"GA",13,3,0,2,201608,1,10,3,1,2,1,1,1,1,5,3,53,2,2,"XXXXX",3,1,2,335.026275704684,"C",50,1500,750,750,40,3000,1500
"307",30002639,3,1,1,4,5,9,1,1,1,4,4,1,5,5,5,5,2,3,2,2,3,1,3,10,"GA",13,3,1,2,201610,1,4,1,5,1,4,6,2,1,5,3,51,1,2,"12060",4,1,2,793.955582069482,"T",5,300,300,150,5,300,300
"319",30002826,4,4,1,2,2,5,2,2,5,-9,-9,1,-9,-9,-9,-9,2,4,4,4,4,1,2,13,"GA",13,2,0,2,201609,1,2,4,6,2,4,6,2,1,5,3,54,1,2,"XXXXX",2,2,2,308.587893913882,"R",20,50,50,25,20,300,50
"326",30002863,5,1,1,3,2,5,2,1,1,-9,-9,1,-9,-9,-9,-9,1,2,5,5,5,1,2,11,"GA",13,2,0,2,201607,1,6,1,5,1,1,5,1,1,5,3,51,1,2,"12060",3,1,2,889.319814441645,"T",20,750,300,350,30,1500,300
"332",30002929,2,4,1,1,1,1,3,1,5,5,5,2,5,5,5,5,1,2,5,5,5,2,1,2,"GA",13,1,0,0,201607,1,9,4,6,2,4,6,2,1,5,3,54,97,1,"XXXXX",1,1,2,1303.55686405893,"R",5,300,50,75,20,50,50
"338",30002975,6,3,2,1,1,5,1,1,1,5,5,1,5,5,5,5,3,4,4,4,4,2,1,3,"GA",13,1,0,1,201610,1,1,3,1,2,1,1,1,1,5,3,53,2,2,"XXXXX",1,1,2,164.636260342612,"T",60,300,300,150,60,300,300
"360",30003153,3,1,1,3,2,6,1,1,3,4,5,1,5,5,4,5,1,2,4,5,3,1,2,12,"GA",13,2,0,2,201605,2,8,1,5,1,1,5,1,1,5,3,51,3,2,"12060",3,1,2,692.664986574725,"S",5,3000,750,1500,5,3000,750
"407",30003607,2,3,2,1,1,2,5,5,5,-9,-9,2,-9,-9,-9,-9,2,-9,-9,-9,-9,2,1,7,"GA",13,1,0,0,201610,1,9,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",1,5,2,131.136196262879,"C",40,1500,1500,750,70,3000,1500
"413",30003660,2,1,1,4,1,7,1,1,4,1,4,1,5,4,5,5,1,3,3,3,2,1,1,9,"GA",13,2,0,1,201609,1,6,1,5,1,1,5,1,1,5,3,51,3,2,"12060",4,1,2,881.504589507845,"T",20,750,300,350,20,750,300
"421",30003718,3,3,1,2,3,8,1,1,1,2,5,1,5,5,5,5,4,4,5,4,4,1,2,6,"GA",13,2,0,1,201605,1,10,3,1,2,1,4,1,1,5,3,53,1,2,"XXXXX",2,1,2,145.186995970766,"T",5,750,300,350,5,300,300
"431",30003792,6,3,1,2,2,4,1,1,5,4,5,1,5,5,5,5,2,3,5,5,5,1,2,9,"GA",13,2,0,0,201609,1,10,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",2,1,2,42.1601797327801,"R",5,300,300,150,5,750,300
"491",30004215,6,1,1,4,2,11,1,1,1,5,5,1,3,5,4,5,4,4,4,4,4,1,2,9,"GA",13,2,2,2,201608,2,4,1,5,1,1,5,1,1,5,3,51,1,2,"12060",4,1,2,621.895790758512,"S",30,3000,750,750,0,1500,750
"497",30004250,6,4,1,2,3,3,3,-9,-9,-9,-9,1,-9,-9,-9,-9,1,1,-9,-9,-9,1,2,12,"GA",13,2,0,1,201609,1,10,4,6,2,2,6,1,1,5,3,54,1,2,"XXXXX",2,3,2,301.401469802926,"T",40,300,50,25,60,1500,750
"513",30004374,3,4,1,4,2,10,1,2,3,3,5,1,5,5,5,5,4,3,4,5,5,1,2,20,"GA",13,2,0,2,201610,1,6,4,6,2,2,6,1,1,5,3,54,1,2,"XXXXX",4,1,2,678.945438312837,"T",40,1500,750,750,40,1500,750
"586",30004859,4,1,2,2,0,7,1,1,1,1,4,5,3,3,3,5,4,2,2,3,2,1,2,8,"GA",13,2,0,1,201607,2,2,1,5,1,1,5,1,1,5,3,51,6,1,"12060",2,1,2,1615.83949413746,"C",70,7000,3000,3000,80,17000,7000
"611",30005150,5,1,2,1,1,1,1,3,3,5,5,2,5,5,5,5,3,3,5,5,5,2,1,2,"GA",13,1,0,0,201609,1,9,1,5,1,4,6,2,1,5,3,51,1,2,"12060",1,1,2,100.654076283033,"T",20,300,50,75,30,1500,300
"615",30005162,6,3,1,1,0,1,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,0,2,"GA",13,1,0,0,201608,1,1,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",1,5,2,89.9048080776663,"T",40,1500,300,350,40,300,300
"621",30005204,4,4,1,1,2,5,1,5,5,3,5,1,5,5,5,5,1,3,1,3,3,2,1,10,"GA",13,1,0,1,201607,1,1,4,6,2,2,6,1,1,5,3,54,1,2,"XXXXX",1,1,2,522.611106657811,"R",30,300,50,75,40,300,300
"651",30005484,2,1,2,2,2,1,1,1,5,5,5,1,5,5,5,5,1,2,5,5,5,1,2,2,"GA",13,2,0,0,201609,1,7,1,5,1,2,6,1,1,5,3,51,1,2,"12060",2,1,2,329.389965843815,"R",40,300,50,75,50,300,300
"656",30005535,6,3,2,1,1,4,1,1,4,4,5,1,3,5,4,5,4,4,5,5,4,2,1,5,"GA",13,1,0,1,201610,1,1,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",1,1,2,150.894016077597,"C",70,3000,1500,1500,80,3000,1500
"658",30005550,3,1,1,2,2,10,1,1,1,4,5,1,4,5,4,5,2,2,3,4,3,1,2,13,"GA",13,2,0,0,201607,1,2,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,2,268.378426929414,"S",5,3000,750,750,5,1500,750
"666",30005615,6,1,2,2,2,3,2,5,2,5,5,1,5,5,5,5,3,3,3,5,5,1,2,0,"GA",13,2,0,0,201608,2,10,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,2,2,508.376283147055,"T",30,750,300,350,50,3000,1500
"691",30005812,2,1,1,2,3,9,1,1,2,2,5,1,4,5,3,5,4,3,5,5,4,1,2,10,"GA",13,2,0,2,201610,1,2,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,2,576.201964592573,"S",60,7000,3000,3000,0,1500,750
"696",30005855,6,1,1,3,4,6,1,1,1,5,5,-1,5,5,5,5,2,4,4,5,5,1,3,5,"GA",13,3,0,3,201609,1,2,1,5,1,1,5,1,1,5,3,51,2,2,"12060",3,1,2,483.420294794533,"C",5,1500,750,750,5,3000,750
"698",30005868,5,1,1,1,2,2,1,1,1,4,5,1,4,4,4,5,1,2,2,5,2,2,1,4,"GA",13,1,0,1,201609,1,1,1,5,1,1,5,1,1,5,3,51,2,2,"12060",1,1,2,210.371131571491,"C",40,7000,1500,1500,40,7000,1500
"705",30005904,2,3,1,1,1,2,1,5,5,2,5,1,5,5,5,5,2,2,4,5,5,2,1,0,"GA",13,1,0,0,201605,1,1,3,1,2,1,1,1,1,5,3,53,2,2,"XXXXX",1,1,2,151.709494906085,"S",50,1500,750,350,40,3000,1500
"708",30005936,6,3,2,1,1,4,1,1,5,5,5,1,5,5,5,5,4,4,5,5,5,2,1,5,"GA",13,1,0,1,201606,1,1,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",1,1,2,340.586261233359,"C",70,3000,1500,1500,80,3000,1500
"734",30006170,2,3,1,3,5,7,1,1,1,3,5,1,5,5,5,5,1,2,4,4,4,1,3,7,"GA",13,3,0,2,201608,1,10,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",3,1,2,209.797512264212,"T",50,1500,750,750,50,7000,1500
"750",30006275,4,3,1,2,3,6,2,1,4,5,5,2,5,5,5,5,2,3,5,5,5,1,2,0,"GA",13,2,0,0,201608,1,10,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,1,2,51.4643408675444,"T",30,300,300,75,40,750,300
"753",30006302,5,3,2,2,2,5,5,5,1,2,5,1,5,5,5,5,3,3,3,3,3,1,2,11,"GA",13,2,0,2,201605,1,2,3,2,2,4,6,2,1,5,3,53,1,2,"XXXXX",2,1,2,321.004722927618,"R",20,300,300,150,20,300,50
"755",30006315,5,3,1,1,1,5,1,1,1,5,-9,1,5,5,5,5,2,2,5,5,5,2,1,6,"GA",13,1,0,1,201606,1,1,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",1,1,2,234.610023236111,"S",20,1500,750,750,30,1500,750
"771",30006395,6,3,1,2,3,7,1,1,5,2,-9,1,5,4,5,5,4,4,5,5,5,1,2,10,"GA",13,2,0,1,201609,1,2,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,1,2,66.5826827685672,"T",20,750,300,350,5,1500,300
"776",30006460,5,1,2,2,1,6,1,1,4,2,2,1,4,5,5,5,1,2,3,3,5,1,2,5,"GA",13,2,0,1,201610,1,2,1,5,1,1,5,1,1,5,3,51,3,2,"12060",2,1,2,813.674406743338,"T",30,1500,300,750,40,1500,300
"777",30006480,5,3,1,2,5,5,3,4,5,1,5,1,5,5,5,5,2,2,3,5,5,1,2,10,"GA",13,2,0,1,201607,1,10,3,1,2,1,1,1,1,5,3,53,-7,2,"XXXXX",2,3,2,159.182601462829,"T",40,750,300,350,40,750,300
"787",30006567,2,1,1,2,2,-7,1,2,5,2,5,1,4,5,5,5,5,3,5,5,5,1,2,13,"GA",13,2,0,2,201609,1,10,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,1,245.757430795465,"S",0,1500,300,350,5,1500,750
"801",30006638,2,3,1,2,2,-7,5,5,5,1,5,2,5,5,5,5,2,2,2,4,4,1,1,8,"GA",13,2,0,0,201608,1,10,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,5,2,66.3654487127431,"T",30,300,300,150,40,300,300
"817",30006764,3,3,1,3,2,6,1,1,1,5,5,1,5,5,5,5,1,1,4,5,5,1,2,6,"GA",13,2,0,2,201609,1,6,3,3,2,1,2,1,1,5,3,53,2,2,"XXXXX",3,1,2,120.134925266743,"S",30,1500,750,350,40,1500,750
"849",30007067,7,1,1,2,2,6,-9,-9,-9,-9,-9,1,-9,-9,-9,-9,1,-9,-9,-9,-9,1,2,8,"GA",13,2,0,0,201609,1,10,1,5,1,4,6,2,1,5,3,51,1,2,"12060",2,1,2,744.956315746012,"T",5,300,300,150,5,300,300
"868",30007204,2,1,2,2,1,5,1,1,1,2,5,1,5,5,5,5,1,4,2,5,4,1,1,4,"GA",13,2,0,0,201608,1,10,1,5,1,1,1,1,1,5,3,51,1,2,"12060",2,1,2,145.473867913817,"T",50,300,300,150,50,3000,750
"870",30007211,5,3,1,1,1,3,1,2,5,5,5,2,5,5,5,5,4,3,5,5,5,2,1,0,"GA",13,1,0,0,201609,1,9,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",1,1,2,56.9896550607297,"T",20,300,300,150,20,750,300
"871",30007212,2,3,2,2,4,4,1,1,1,1,-9,1,-9,5,5,5,4,4,3,5,3,1,2,7,"GA",13,2,0,2,201608,1,2,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",2,1,2,135.291273918372,"C",70,3000,1500,750,60,1500,750
"892",30007428,4,3,1,2,2,5,1,2,2,3,5,2,5,5,5,5,1,2,3,4,4,1,2,8,"GA",13,2,0,1,201609,1,10,3,1,2,1,1,1,1,5,3,53,2,2,"XXXXX",2,1,2,49.0126109088597,"T",30,1500,750,750,30,1500,300
"894",30007445,4,4,1,2,1,1,3,1,1,1,2,1,4,4,4,3,1,1,2,2,2,2,1,6,"GA",13,2,0,0,201609,1,10,4,6,2,2,6,1,1,5,3,54,2,1,"XXXXX",2,1,1,1194.15125739052,"R",30,300,50,75,30,300,50
"901",30007465,4,1,1,1,2,6,1,1,2,5,5,1,5,5,4,5,5,4,5,5,5,2,1,2,"GA",13,1,0,1,201608,1,1,1,5,1,1,5,1,1,5,3,51,1,2,"12060",1,1,1,444.603884997676,"C",50,3000,1500,1500,40,7000,3000
"939",30007689,2,3,2,2,2,6,1,1,4,-9,-9,1,-9,-9,-9,-9,4,4,5,5,5,1,2,2,"GA",13,2,0,1,201608,1,2,1,5,1,1,5,1,1,3,2,31,1,2,"12060",2,1,2,120.546268142911,"C",50,7000,3000,3000,40,7000,3000
"953",30007754,1,4,1,2,3,8,1,1,5,4,4,1,5,5,5,5,2,3,3,3,3,1,2,6,"GA",13,2,0,0,201609,1,10,4,6,2,4,6,2,1,5,3,54,1,2,"XXXXX",2,1,2,916.437174530556,"R",30,300,50,25,20,300,50
"955",30007768,3,3,2,1,1,3,1,1,-9,1,-9,-1,-9,-9,-9,-9,1,2,3,1,2,2,1,2,"GA",13,1,0,1,201608,1,1,3,1,2,1,1,1,1,5,3,53,3,2,"XXXXX",1,1,2,159.340037711367,"C",80,750,300,350,95,7000,1500
"968",30007891,4,3,1,1,1,1,2,5,5,5,5,3,5,5,5,5,3,3,5,5,5,2,1,3,"GA",13,1,0,0,201607,1,9,3,3,2,1,2,1,1,5,3,53,1,2,"XXXXX",1,2,2,95.959824797597,"S",60,3000,1500,750,50,1500,750
"975",30007927,1,3,2,1,0,2,-9,3,-9,1,-9,2,-9,-9,-9,-9,2,4,2,-9,-9,2,1,5,"GA",13,1,0,1,201606,1,1,3,1,2,1,1,1,1,5,3,53,2,2,"XXXXX",1,3,2,985.865898004443,"C",60,3000,1500,1500,60,3000,1500
"976",30007929,6,1,1,2,2,11,1,1,2,2,5,1,4,5,3,5,3,3,3,3,2,1,2,4,"GA",13,2,0,1,201607,1,10,1,5,1,4,6,2,1,5,3,51,1,2,"12060",2,1,2,275.484601220123,"T",20,300,300,150,60,300,300
"985",30007993,2,3,2,1,1,4,1,1,5,4,4,1,4,4,5,5,1,3,4,4,4,2,1,7,"GA",13,1,0,1,201608,1,1,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",1,1,2,151.635138284783,"T",40,300,300,150,30,300,300
"996",30008052,5,3,1,3,2,10,1,1,1,4,4,1,4,5,5,5,5,5,4,4,4,1,2,11,"GA",13,2,1,2,201609,1,4,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",3,1,2,64.7791708878143,"C",5,300,50,75,5,750,300
"1008",30008160,3,3,2,1,1,2,5,2,5,-9,-9,1,-9,-9,-9,-9,3,3,3,3,3,2,1,2,"GA",13,1,0,1,201610,1,1,3,1,2,1,1,1,1,5,3,53,2,2,"XXXXX",1,2,2,229.462254701285,"T",60,300,300,150,60,300,300
"1011",30008178,7,3,1,2,3,8,1,1,1,4,5,1,5,5,5,5,3,2,3,3,3,1,2,0,"GA",13,2,0,0,201606,1,10,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,1,2,257.580589776171,"T",20,300,300,150,30,750,300
"1033",30008349,3,3,1,2,2,7,1,1,5,5,5,1,5,5,5,5,3,3,3,3,3,2,2,8,"GA",13,2,0,2,201611,1,2,3,1,2,1,4,1,1,5,3,53,1,2,"XXXXX",2,1,2,75.5417499777795,"T",5,750,300,350,5,300,300
"1086",30008810,6,1,1,1,1,6,1,1,5,5,5,1,5,5,4,5,4,4,5,5,4,2,1,7,"GA",13,1,0,1,201607,1,9,1,5,1,1,5,1,1,5,3,51,1,2,"12060",1,1,2,387.808431546589,"C",20,3000,1500,1500,5,7000,1500
"1096",30008875,6,3,1,1,1,-7,1,2,5,2,5,1,5,5,5,5,1,2,3,4,5,2,1,3,"GA",13,1,0,0,201609,1,1,3,2,2,1,2,1,1,5,3,53,-7,2,"XXXXX",1,1,2,103.770158667793,"S",30,3000,750,750,40,1500,750
"1133",30009127,5,3,1,1,1,2,5,5,5,5,5,2,5,5,5,5,2,4,5,5,5,2,1,2,"GA",13,1,0,0,201609,1,9,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",1,5,2,78.1569699028945,"T",40,750,300,350,50,1500,300
"1148",30009246,2,3,1,3,4,10,1,1,2,5,5,1,5,5,5,5,4,2,5,5,5,1,3,10,"GA",13,3,0,3,201610,1,2,3,3,2,1,2,1,1,5,3,53,2,2,"XXXXX",3,1,2,166.500090415149,"T",5,1500,300,750,5,1500,300
"1206",30009704,4,1,1,2,3,6,1,2,5,1,5,1,5,5,5,5,4,2,5,5,5,1,2,5,"GA",13,2,0,1,201609,1,10,1,5,1,4,6,2,1,5,3,51,1,2,"12060",2,1,2,246.684403025852,"T",20,750,300,350,20,300,300
"1220",30009786,4,1,1,2,2,9,1,1,5,4,5,1,4,5,5,5,3,3,5,5,5,1,2,6,"GA",13,2,0,2,201608,1,2,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,2,501.597276141031,"T",5,750,300,350,0,750,300
"1228",30009861,1,1,1,5,1,7,1,1,3,4,4,1,4,4,4,5,2,3,3,4,4,1,2,9,"GA",13,2,1,2,201609,1,4,1,5,1,1,5,1,1,5,3,51,2,2,"12060",5,1,2,2112.70282694671,"S",20,3000,750,1500,20,3000,750
"1231",30009888,6,3,1,1,1,4,3,1,5,5,5,2,5,5,5,5,3,3,5,5,5,2,1,1,"GA",13,1,0,0,201608,1,1,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",1,1,2,94.4754647574919,"C",40,3000,1500,1500,50,3000,1500
"1234",30009928,6,3,1,5,3,6,2,1,1,5,5,1,5,5,5,5,2,2,5,5,5,1,2,13,"GA",13,3,2,3,201605,1,4,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",5,1,2,514.275411644078,"R",20,300,50,75,20,300,50
"1262",30010149,3,3,1,2,3,6,3,3,5,5,5,1,5,5,5,5,1,1,3,3,3,1,2,16,"GA",13,2,0,1,201611,1,2,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",2,3,2,65.3351106205641,"R",20,50,50,25,20,50,50
"1304",30010535,4,1,1,6,4,11,1,1,1,-9,5,1,3,4,4,-9,4,4,4,4,4,1,4,14,"GA",13,3,0,1,201609,1,6,1,5,1,1,5,1,1,5,3,51,1,2,"12060",6,1,2,489.438594173643,"S",0,1500,750,750,0,3000,750
"1310",30010612,1,3,1,1,1,-7,3,1,3,5,5,2,1,5,5,5,1,1,5,5,5,2,1,0,"GA",13,1,0,0,201608,1,1,3,3,2,1,2,1,1,5,3,53,2,2,"XXXXX",1,1,2,204.808724513266,"T",20,1500,750,750,5,1500,300
"1315",30010626,2,3,2,3,1,2,2,1,1,4,5,1,5,5,5,5,2,3,5,5,5,1,1,23,"GA",13,1,1,0,201608,1,3,3,1,2,1,1,1,1,5,3,53,2,2,"XXXXX",3,1,2,438.547537888797,"C",30,1500,750,750,30,1500,300
"1321",30010672,3,3,1,2,3,10,1,1,1,2,4,-1,5,5,5,5,3,3,5,5,5,2,2,15,"GA",13,2,0,1,201610,1,10,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",2,1,2,96.0515738701539,"R",20,50,50,25,20,50,50
"1353",30010908,3,1,1,2,2,7,1,1,1,-9,-9,2,-9,2,2,-9,3,3,4,-9,2,1,2,5,"GA",13,2,0,2,201605,1,2,1,5,1,1,5,1,1,5,3,51,2,2,"12060",2,1,2,1528.07337368047,"C",40,7000,3000,3000,5,7000,3000
"1370",30011065,7,3,2,4,2,2,4,2,5,1,3,3,5,5,5,5,2,3,2,2,4,1,3,0,"GA",13,4,0,2,201609,1,8,3,3,2,4,6,2,1,5,3,53,1,2,"XXXXX",4,2,1,2028.48442638025,"R",20,300,50,75,30,300,300
"1421",30011491,3,1,1,3,2,6,1,1,1,4,5,1,4,5,4,5,1,4,4,4,4,1,2,8,"GA",13,2,1,2,201609,1,4,1,5,1,1,5,1,1,5,3,51,1,2,"12060",3,1,2,334.870566280859,"C",50,7000,3000,3000,40,17000,7000
"1504",30012269,3,1,1,2,2,5,2,1,1,5,5,2,5,5,5,5,1,2,4,4,4,1,2,3,"GA",13,2,0,1,201605,1,10,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,2,1189.48437796197,"S",30,1500,750,750,30,3000,750
"1523",30012405,5,3,1,3,4,7,1,1,1,5,5,1,3,5,5,5,4,2,5,5,5,1,2,15,"GA",13,2,0,2,201607,1,6,3,2,2,4,6,2,1,5,3,53,1,2,"XXXXX",3,1,2,108.991970907728,"R",5,50,50,25,5,300,50
"1524",30012407,3,3,1,2,3,6,1,1,-9,-9,-9,1,-9,-9,-9,-9,3,3,4,4,4,1,2,2,"GA",13,2,0,2,201606,1,2,3,2,2,4,6,2,1,5,3,53,1,2,"XXXXX",2,1,2,168.388123830604,"R",20,300,50,25,20,50,50
"1546",30012591,2,1,1,5,2,11,1,1,1,3,5,1,4,5,4,5,5,5,5,5,5,1,2,16,"GA",13,2,1,2,201610,1,4,1,5,1,1,5,1,1,5,3,51,1,2,"12060",5,1,2,714.997941312888,"S",30,3000,1500,1500,30,3000,1500
"1558",30012654,6,4,1,1,1,4,2,1,3,2,5,1,5,5,5,5,1,3,4,4,4,2,1,2,"GA",13,1,0,1,201610,1,9,4,6,2,2,6,1,1,5,3,54,2,2,"XXXXX",1,1,2,625.23519047551,"T",40,300,300,150,70,1500,750
"1591",30012972,5,1,1,5,3,6,1,1,1,1,2,1,5,5,5,5,3,3,3,2,3,1,2,14,"GA",13,2,1,1,201609,1,4,1,5,1,1,5,1,1,5,3,51,1,2,"12060",5,1,2,483.657355260747,"S",5,3000,750,1500,5,7000,1500
"1600",30013036,4,3,1,1,1,3,1,1,3,5,5,1,5,5,5,5,1,2,5,5,5,2,1,4,"GA",13,1,0,0,201607,1,9,3,3,2,4,6,2,1,5,3,53,1,2,"XXXXX",1,1,2,63.980630492116,"R",20,300,50,75,20,300,50
"1634",30013290,4,3,2,2,1,-7,2,5,5,1,5,2,5,5,5,5,3,3,3,4,4,1,1,4,"GA",13,2,0,0,201608,1,10,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",2,2,2,138.386793231932,"T",20,750,300,350,20,300,300
"1635",30013297,6,3,1,1,1,3,1,1,1,4,5,1,4,5,5,5,1,2,2,3,2,2,1,5,"GA",13,1,0,1,201609,1,1,3,1,2,1,1,1,1,5,3,53,1,1,"XXXXX",1,1,2,156.294088080288,"T",40,300,300,150,30,750,300
"1639",30013313,1,3,1,2,1,5,1,-9,-9,5,5,1,5,5,5,5,2,3,4,4,4,1,1,6,"GA",13,2,0,1,201605,1,10,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",2,1,2,646.934745860902,"T",40,300,300,150,30,300,300
"1671",30013607,4,3,2,1,1,2,5,5,5,2,5,1,5,5,5,5,2,2,5,5,5,2,1,12,"GA",13,1,0,0,201608,1,9,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",1,5,2,95.3240568968484,"T",50,750,300,350,50,750,300
"1673",30013617,5,1,1,2,1,6,1,1,4,5,5,1,5,5,4,5,4,4,4,4,4,1,1,6,"GA",13,2,0,1,201608,1,10,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,2,528.981124488126,"T",70,1500,300,350,50,750,300
