"asc_bus","asc_air","asc_rail","b_tt_car","b_tt_bus","b_tt_air","b_tt_rail","b_access","b_cost","b_female_bus","b_female_rail","b_female_air","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,-8196.02053242298
-0.319375576791434,0.00646519422767294,0.0908770805493443,0.000167317975651653,-0.000876999580310688,0.000128480029536894,0.000634418957983598,-0.000648131193952034,-0.000386469035443339,-0.278874050683412,0.0729248879322848,0.0131024162105468,-7119.55989195217
-0.892321400552174,0.0479940447456878,0.199374801212891,9.06511752492517e-05,-0.00262890202724915,0.000691379216856734,0.00141906953854896,-0.00131167919754328,-0.00938846347256411,-0.464302481429048,0.121553397039888,0.057759591173246,-6435.19407590451
-1.45102860212647,0.544305672582637,0.0827072906902036,-0.00297072852494185,-0.00473624726855076,-0.00290704149699528,-0.000282507241499856,-0.00715240971476497,-0.0356155789503197,-0.377483709238946,0.139916137174894,0.222905314866247,-5935.88305580057
-1.58995548192894,0.993327112607702,-0.248897394495681,-0.00681651961531185,-0.00890707432702552,-0.0119269133288159,-0.00335936416128878,-0.0177387773895274,-0.0509776568624022,0.0840430034065306,0.153683553211847,0.256439954608234,-5791.74404555064
-0.182582657035586,0.845625676004096,-1.10367924406058,-0.00984817424025061,-0.0151651809635908,-0.0182558658737642,-0.00331830846842258,-0.0218744066270703,-0.0548354132739744,0.105981638668585,0.178041692027897,0.239157653205774,-5761.33087901768
0.0882364744980976,0.898466894522534,-1.15586185342323,-0.00997487011440836,-0.0159933271987132,-0.0191874053388746,-0.00314749486285133,-0.0225996650272423,-0.0546924661240385,0.133500579936369,0.174361069572628,0.243068308448956,-5760.93587539853
0.0983947606271268,0.90565884473265,-1.15385904696681,-0.00996373545288614,-0.016010957586911,-0.0192167841543839,-0.00313713869082415,-0.0226477220532073,-0.0546520687660033,0.134968821753475,0.174263865706315,0.241638116639135,-5760.93447795267
0.0983304714176119,0.906032919511898,-1.15353472813658,-0.0099626991853895,-0.0160099494301739,-0.0192172014936914,-0.0031371759821931,-0.0226477651569709,-0.0546493441064511,0.135083791319966,0.174183194277967,0.241500528732989,-5760.93447131985
0.0983279936297287,0.906035124247517,-1.15353298322979,-0.00996269875762086,-0.0160099286171116,-0.0192172027852163,-0.00313718098140929,-0.0226477311357358,-0.0546493111274296,0.135066753088341,0.174180748396761,0.241492716201829,-5760.93447130585
